,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,Pr(MC),EMC(T),time(MC),n(MC),n(RT),Pr(FV),integral,E(T),n(FV),n(PT),n(ET),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
102,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.175,7,4,13,1433,,,,,,7.696670520399138e-06,7.904353460016461e-05,10.26983477994398,2674769,3200,3200,3.939624007386781e-06,,
103,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.175,7,4,14,1443,,,,,,2.583361328493386e-06,2.5802271141514742e-05,9.987867688862016,2125569,3200,3200,3.939624007386781e-06,,
104,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.175,7,4,15,1453,,,,,,2.780816790627465e-06,2.615804034783725e-05,9.406603281453481,2636469,3200,3200,3.939624007386781e-06,,
105,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.2,8,4,1,1313,,,,,,1.4073668256895046e-06,1.8031426621226333e-05,12.812172556641215,1866522,3200,3200,3.939624007386781e-06,,
106,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.2,8,4,2,1323,,,,,,5.515149228775199e-07,7.285687665430054e-06,13.210318276461315,1768811,3200,3200,3.939624007386781e-06,,
107,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.2,8,4,3,1333,,,,,,4.461383768642866e-06,5.827422485722807e-05,13.061917082052513,2488989,3200,3200,3.939624007386781e-06,,
108,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.2,8,4,4,1343,,,,,,6.115804266550704e-07,8.190985290979235e-06,13.393144930713957,1955317,3200,3200,3.939624007386781e-06,,
109,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.2,8,4,5,1353,,,,,,4.592600145053573e-07,6.076792807120441e-06,13.231704514196402,1659765,3200,3200,3.939624007386781e-06,,
110,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.2,8,4,6,1363,,,,,,7.828463051556625e-07,1.0411414194313178e-05,13.29943582251813,2018728,3200,3200,3.939624007386781e-06,,
111,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.2,8,4,7,1373,,,,,,7.970391542665665e-06,0.00010511777836626003,13.18853381337196,3647314,3200,3200,3.939624007386781e-06,,
112,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.2,8,4,8,1383,,,,,,6.62690700032919e-06,8.826927309195533e-05,13.319829761843735,3071175,3200,3200,3.939624007386781e-06,,
113,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.2,8,4,9,1393,,,,,,5.023424019211493e-06,6.409279861250094e-05,12.758787306702676,2322242,3200,3200,3.939624007386781e-06,,
114,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.2,8,4,10,1403,,,,,,8.963283244615122e-06,0.00012198540456352921,13.60945551250034,3337277,3200,3200,3.939624007386781e-06,,
115,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.2,8,4,11,1413,,,,,,2.9231875997511952e-06,3.755003852959451e-05,12.845579439646826,2463502,3200,3200,3.939624007386781e-06,,
116,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.2,8,4,12,1423,,,,,,4.7892908423305195e-06,6.581589028402641e-05,13.742303913203088,1951382,3200,3200,3.939624007386781e-06,,
117,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.2,8,4,13,1433,,,,,,4.750774700033326e-06,6.053930169587648e-05,12.74303782401043,2848234,3200,3200,3.939624007386781e-06,,
118,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.2,8,4,14,1443,,,,,,1.6397527908741295e-06,2.2164297092894356e-05,13.516852794059814,1931401,3200,3200,3.939624007386781e-06,,
119,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.2,8,4,15,1453,,,,,,1.5809100996844626e-06,2.1413628992204915e-05,13.545127579663708,2029637,3200,3200,3.939624007386781e-06,,
