casenum,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,E(T),Pr(FV),Pr(K),time_fv_starts,prop_time_fv_starts,n(FV),time(FV),bias,abs(bias),rel. bias,rel. abs(bias)
3,"[0.4, 0.75, 0.35]",40,3200,800000,0.3,12,3,8,1383,40.6,3.27E-06,3.94E-06,1652.7,0.001,3372577,1069831.9,-6.70E-07,0.00000067,-17.00%,17.01%
3,"[0.4, 0.75, 0.35]",40,3200,800000,0.3,12,3,9,1393,42.9,4.57E-06,3.94E-06,1711.6,0.001,3355018,1068417.5,6.30E-07,0.00000063,16.00%,15.99%
3,"[0.4, 0.75, 0.35]",40,3200,800000,0.3,12,3,10,1403,40,3.57E-06,3.94E-06,1940.3,0.002,3463764,1097895.1,-3.70E-07,0.00000037,-9.40%,9.39%
3,"[0.4, 0.75, 0.35]",40,3200,800000,0.3,12,3,11,1413,39.4,7.34E-06,3.94E-06,1753.2,0.002,3626490,1147196.9,3.40E-06,0.0000034,86.30%,86.29%
3,"[0.4, 0.75, 0.35]",40,3200,800000,0.3,12,3,12,1423,39.9,7.61E-06,3.94E-06,1478.4,0.001,3768931,1191082.8,3.67E-06,0.00000367,93.10%,93.15%
3,"[0.4, 0.75, 0.35]",40,3200,800000,0.3,12,3,13,1433,39.8,3.15E-06,3.94E-06,1571.3,0.001,2710159,866825.7,-7.90E-07,0.00000079,-20.10%,20.05%
3,"[0.4, 0.75, 0.35]",40,3200,800000,0.3,12,3,14,1443,42.5,3.06E-06,3.94E-06,2254.8,0.002,3101503,988084.1,-8.80E-07,0.00000088,-22.30%,22.34%
3,"[0.4, 0.75, 0.35]",40,3200,800000,0.3,12,3,15,1453,39.7,1.40E-06,3.94E-06,1864,0.002,3157152,1002607.5,-2.54E-06,0.00000254,-64.50%,64.47%
4,"[0.4, 0.75, 0.35]",40,3200,800000,0.4,16,3,1,1313,125.8,3.76E-06,3.94E-06,5751.2,0.005,6468248,2112901,-1.80E-07,0.00000018,-4.60%,4.57%
4,"[0.4, 0.75, 0.35]",40,3200,800000,0.4,16,3,2,1323,128.7,2.65E-06,3.94E-06,6346.5,0.006,7330214,2371979,-1.29E-06,0.00000129,-32.70%,32.74%
4,"[0.4, 0.75, 0.35]",40,3200,800000,0.4,16,3,3,1333,126.6,3.90E-06,3.94E-06,4962.4,0.004,6242530,2038247.6,-4.00E-08,4.00E-08,-1.00%,1.02%
4,"[0.4, 0.75, 0.35]",40,3200,800000,0.4,16,3,4,1343,122.5,5.54E-06,3.94E-06,8495.6,0.007,6466216,2102434.3,1.60E-06,0.0000016,40.60%,40.61%
4,"[0.4, 0.75, 0.35]",40,3200,800000,0.4,16,3,5,1353,127.8,3.73E-06,3.94E-06,5733.4,0.005,6502483,2118662.8,-2.10E-07,2.10E-07,-5.30%,5.33%
4,"[0.4, 0.75, 0.35]",40,3200,800000,0.4,16,3,6,1363,107.1,6.18E-06,3.94E-06,6453.9,0.006,7252090,2344262.6,2.24E-06,0.00000224,56.90%,56.85%
